STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,013,960100,48013960100,2019-06-09,1
48,013,960100,48013960100,2019-06-13,4
48,013,960100,48013960100,2019-06-18,2
48,013,960100,48013960100,2019-06-19,4
48,013,960100,48013960100,2019-06-21,4
48,013,960100,48013960100,2019-06-23,1
48,013,960100,48013960100,2019-06-26,1
48,013,960100,48013960100,2019-06-27,2
48,013,960100,48013960100,2019-06-28,4
48,013,960100,48013960100,2019-06-29,5
48,013,960100,48013960100,2019-07-02,5
48,013,960100,48013960100,2019-07-03,2
48,013,960100,48013960100,2019-07-04,2
48,013,960100,48013960100,2019-07-06,5
48,013,960100,48013960100,2019-07-07,4
48,013,960100,48013960100,2019-07-08,3
48,013,960100,48013960100,2019-07-09,3
48,013,960100,48013960100,2019-07-10,4
48,013,960100,48013960100,2019-07-11,2
48,013,960100,48013960100,2019-07-12,3
48,013,960100,48013960100,2019-07-13,3
48,013,960100,48013960100,2019-07-17,3
48,013,960100,48013960100,2019-07-18,3
48,013,960100,48013960100,2019-07-19,1
48,013,960100,48013960100,2019-07-20,2
48,013,960100,48013960100,2019-07-21,3
48,013,960100,48013960100,2019-07-22,5
48,013,960100,48013960100,2019-07-24,3
48,013,960100,48013960100,2019-07-25,7
48,013,960100,48013960100,2019-07-26,8
48,013,960100,48013960100,2019-07-27,2
48,013,960100,48013960100,2019-07-28,6
48,013,960100,48013960100,2019-07-29,3
48,013,960100,48013960100,2019-07-30,5
48,013,960100,48013960100,2019-07-31,2
48,013,960100,48013960100,2019-08-01,3
48,013,960100,48013960100,2019-08-02,3
48,013,960100,48013960100,2019-08-03,2
48,013,960100,48013960100,2019-08-04,1
48,013,960100,48013960100,2019-08-05,6
48,013,960100,48013960100,2019-08-06,3
48,013,960100,48013960100,2019-08-07,6
48,013,960100,48013960100,2019-08-08,1
48,013,960100,48013960100,2019-08-09,4
48,013,960100,48013960100,2019-08-10,6
48,013,960100,48013960100,2019-08-11,3
48,013,960100,48013960100,2019-08-12,3
48,013,960100,48013960100,2019-08-13,1
48,013,960100,48013960100,2019-08-14,5
48,013,960100,48013960100,2019-08-15,6
48,013,960100,48013960100,2019-08-16,1
48,013,960100,48013960100,2019-08-17,2
48,013,960100,48013960100,2019-08-18,3
48,013,960100,48013960100,2019-08-19,4
48,013,960100,48013960100,2019-08-20,3
48,013,960100,48013960100,2019-08-21,4
48,013,960100,48013960100,2019-08-22,2
48,013,960100,48013960100,2019-08-23,2
48,013,960100,48013960100,2019-08-26,9
48,013,960100,48013960100,2019-08-27,10
48,013,960100,48013960100,2019-08-30,2
48,013,960100,48013960100,2019-08-31,5
48,013,960100,48013960100,2019-09-01,8
48,013,960100,48013960100,2019-09-02,3
48,013,960100,48013960100,2019-09-03,3
48,013,960100,48013960100,2019-09-04,1
48,013,960100,48013960100,2019-09-05,3
48,013,960100,48013960100,2019-09-06,4
48,013,960100,48013960100,2019-09-07,2
48,013,960100,48013960100,2019-09-08,3
48,013,960100,48013960100,2019-09-09,5
48,013,960100,48013960100,2019-09-10,5
48,013,960100,48013960100,2019-09-12,2
48,013,960100,48013960100,2019-09-13,3
48,013,960100,48013960100,2019-09-14,6
48,013,960100,48013960100,2019-09-15,3
48,013,960100,48013960100,2019-09-16,6
48,013,960100,48013960100,2019-09-17,8
48,013,960100,48013960100,2019-09-18,4
48,013,960100,48013960100,2019-09-19,4
48,013,960100,48013960100,2019-09-21,2
48,013,960100,48013960100,2019-09-22,3
48,013,960100,48013960100,2019-09-24,3
48,013,960100,48013960100,2019-09-25,6
48,013,960100,48013960100,2019-09-26,5
48,013,960100,48013960100,2019-09-27,2
48,013,960100,48013960100,2019-09-28,2
48,013,960100,48013960100,2019-10-01,3
48,013,960100,48013960100,2019-10-02,4
48,013,960100,48013960100,2019-10-03,4
48,013,960100,48013960100,2019-10-04,8
48,013,960100,48013960100,2019-10-05,3
48,013,960100,48013960100,2019-10-06,4
48,013,960100,48013960100,2019-10-07,3
48,013,960100,48013960100,2019-10-08,4
48,013,960100,48013960100,2019-10-09,8
48,013,960100,48013960100,2019-10-10,5
48,013,960100,48013960100,2019-10-11,8
48,013,960100,48013960100,2019-10-18,4
48,013,960100,48013960100,2019-10-19,8
48,013,960100,48013960100,2019-10-20,5
48,013,960100,48013960100,2019-10-22,4
48,013,960100,48013960100,2019-10-23,4
48,013,960100,48013960100,2019-10-24,6
48,013,960100,48013960100,2019-10-26,6
48,013,960100,48013960100,2019-10-27,8
48,013,960100,48013960100,2019-10-28,3
48,013,960100,48013960100,2019-10-31,5
48,013,960100,48013960100,2019-11-01,8
48,013,960100,48013960100,2019-11-02,3
48,013,960100,48013960100,2019-11-03,6
48,013,960100,48013960100,2019-11-05,1
48,013,960100,48013960100,2019-11-09,2
48,013,960100,48013960100,2019-11-15,5
48,013,960100,48013960100,2019-11-16,5
48,013,960100,48013960100,2019-11-17,6
48,013,960100,48013960100,2019-11-18,2
48,013,960100,48013960100,2019-11-19,3
48,013,960100,48013960100,2019-11-23,5
48,013,960100,48013960100,2019-11-24,4
48,013,960100,48013960100,2019-11-25,3
48,013,960100,48013960100,2019-11-26,4
48,013,960100,48013960100,2019-12-01,4
48,013,960100,48013960100,2019-12-02,4
48,013,960100,48013960100,2019-12-03,6
48,013,960100,48013960100,2019-12-04,8
48,013,960100,48013960100,2019-12-07,2
48,013,960100,48013960100,2019-12-08,5
48,013,960100,48013960100,2019-12-11,1
48,013,960100,48013960100,2019-12-12,2
48,013,960100,48013960100,2019-12-14,9
48,013,960100,48013960100,2019-12-15,6
48,013,960100,48013960100,2019-12-16,1
48,013,960100,48013960100,2019-12-17,5
48,013,960100,48013960100,2019-12-18,5
48,013,960100,48013960100,2019-12-19,7
48,013,960100,48013960100,2019-12-22,8
48,013,960100,48013960100,2019-12-23,4
48,013,960100,48013960100,2019-12-24,3
48,013,960100,48013960100,2019-12-25,2
48,013,960100,48013960100,2019-12-30,5
48,013,960100,48013960100,2019-12-31,3
48,013,960100,48013960100,2020-01-03,4
48,013,960100,48013960100,2020-01-04,10
48,013,960100,48013960100,2020-01-05,3
48,013,960100,48013960100,2020-01-06,7
48,013,960100,48013960100,2020-01-07,3
48,013,960100,48013960100,2020-01-08,4
48,013,960100,48013960100,2020-01-10,3
48,013,960100,48013960100,2020-01-11,1
48,013,960100,48013960100,2020-01-12,7
48,013,960100,48013960100,2020-01-19,2
48,013,960100,48013960100,2020-01-20,2
48,013,960100,48013960100,2020-01-21,4
48,013,960100,48013960100,2020-01-24,4
48,013,960100,48013960100,2020-01-25,3
48,013,960100,48013960100,2020-01-27,2
48,013,960100,48013960100,2020-01-29,4
48,013,960100,48013960100,2020-02-01,3
48,013,960100,48013960100,2020-02-02,4
48,013,960100,48013960100,2020-02-06,5
48,013,960100,48013960100,2020-02-07,4
48,013,960100,48013960100,2020-02-08,7
48,013,960100,48013960100,2020-02-13,8
48,013,960100,48013960100,2020-02-14,2
48,013,960100,48013960100,2020-02-15,5
48,013,960100,48013960100,2020-02-22,3
48,013,960100,48013960100,2020-02-27,2
48,013,960100,48013960100,2020-02-28,1
48,013,960100,48013960100,2020-02-29,2
48,013,960100,48013960100,2020-03-06,4
